COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,ES_TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL
50,0,0,4354.358974,4220,4356.410256,4400,4369.74359,4481.538462,4601.025641,4024.102564,4436.410256,4396.923077,4599.487179,4205.641026,4188.717949,4990.769231,1594,1740,71.84,14.5281105,0,0,0,0
51,0,0,4347.692308,4215.897436,4348.717949,4397.948718,4367.692308,4480,4596.410256,4024.102564,4434.871795,4384.615385,4595.897436,4203.589744,4183.589744,4980.512821,1592,1739,71.848,14.5281105,0,0,0,0
52,0,0,4341.025641,4206.153846,4348.205128,4394.358974,4364.102564,4476.923077,4590.769231,4016.410256,4432.820513,4369.74359,4586.153846,4200,4173.333333,4972.307692,1594,1740,71.856,14.5281105,0,0,0,0
53,0,0,4335.897436,4203.589744,4349.74359,4397.435897,4362.564103,4480,4594.871795,4010.25641,4430.25641,4364.102564,4576.410256,4200,4170.769231,4969.230769,1593,1737,71.864,14.5281105,0,0,0,0
54,0,0,4335.384615,4205.641026,4345.128205,4399.487179,4365.641026,4485.641026,4600.512821,4014.358974,4431.282051,4363.589744,4571.794872,4202.564103,4170.25641,4964.102564,1593,1737,71.872,14.5281105,0,0,0,0
55,0,0,4331.794872,4201.538462,4342.051282,4398.461538,4367.179487,4487.692308,4602.564103,4020,4432.820513,4355.897436,4569.230769,4196.410256,4166.153846,4956.410256,1594,1737,71.88,14.5281105,0,0,0,0
56,0,0,4326.666667,4200.512821,4347.692308,4400.512821,4367.692308,4491.794872,4607.692308,4024.102564,4437.435897,4353.846154,4571.794872,4199.487179,4168.717949,4960.512821,1594,1738,71.887,14.5281105,0,0,0,0
57,0,0,4329.74359,4203.076923,4351.794872,4398.461538,4367.692308,4493.333333,4610.25641,4026.153846,4441.538462,4362.564103,4574.871795,4212.820513,4172.307692,4968.205128,1595,1738,71.895,14.5281105,0,0,0,0
58,0,0,4335.897436,4202.051282,4349.74359,4394.358974,4366.666667,4488.205128,4604.102564,4024.102564,4436.410256,4360.512821,4570.25641,4214.871795,4169.74359,4965.641026,1594,1739,71.903,14.5281105,0,0,0,0
59,0,0,4338.974359,4202.051282,4348.205128,4396.410256,4365.128205,4484.102564,4596.410256,4015.897436,4428.717949,4351.794872,4566.666667,4209.230769,4171.282051,4965.641026,1595,1738,71.91,14.5281105,0,0,0,0
