COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,GYROX,GYROY,TIMESTAMP,ES_TIMESTAMP,FUNC_ID,FUNC_VALUE,MARKER,SYNC_SIGNAL
73,0,526,4320.512821,4181.025641,4328.205128,4390.769231,4353.333333,4474.358974,4589.74359,4011.794872,4428.717949,4272.307692,4501.025641,4227.692308,4164.615385,4960,1593,1740,72.02,15.02854061,0,0,0,0
74,0,465,4335.897436,4191.282051,4339.487179,4398.461538,4356.410256,4477.948718,4590.769231,4012.307692,4430.25641,4282.564103,4507.692308,4238.461538,4174.871795,4971.282051,1594,1740,72.028,15.02854061,0,0,0,0
75,0,452,4352.307692,4202.051282,4346.153846,4397.435897,4358.461538,4476.923077,4586.666667,4012.307692,4429.74359,4302.051282,4518.461538,4243.589744,4188.205128,4988.205128,1594,1739,72.036,15.02854061,0,0,0,0
76,0,352,4374.358974,4208.205128,4350.769231,4402.051282,4356.410256,4466.666667,4580.512821,4007.179487,4427.692308,4314.871795,4528.205128,4251.282051,4200,5006.153846,1594,1740,72.043,15.02854061,0,0,0,0
77,0,395,4402.051282,4213.333333,4358.461538,4409.74359,4353.846154,4455.897436,4578.461538,4007.179487,4424.102564,4320,4533.333333,4258.974359,4210.25641,5021.025641,1596,1739,72.051,15.02854061,0,0,0,0
78,0,465,4424.615385,4217.948718,4369.230769,4412.820513,4352.820513,4452.307692,4582.051282,4011.794872,4421.025641,4332.307692,4539.487179,4263.589744,4218.461538,5033.846154,1595,1739,72.058,15.02854061,0,0,0,0
79,0,452,4445.641026,4227.179487,4381.538462,4414.871795,4354.871795,4450.25641,4586.153846,4010.769231,4424.102564,4349.230769,4549.230769,4272.307692,4227.179487,5047.692308,1595,1739,72.066,15.02854061,0,0,0,0
80,0,352,4464.615385,4238.974359,4386.666667,4417.948718,4354.358974,4442.051282,4583.589744,4008.717949,4425.641026,4364.102564,4563.076923,4284.102564,4239.487179,5062.051282,1594,1739,72.075,15.02854061,0,0,0,0
81,0,395,4464.615385,4238.974359,4382.051282,4415.897436,4350.769231,4441.538462,4580,4009.74359,4422.564103,4375.897436,4572.307692,4289.74359,4247.692308,5068.205128,1595,1738,72.083,15.02854061,0,0,0,0
82,0,465,4446.666667,4229.74359,4375.897436,4411.282051,4351.282051,4447.692308,4582.051282,4008.717949,4424.102564,4381.025641,4572.820513,4291.794872,4245.128205,5061.025641,1593,1738,72.091,15.02854061,0,0,0,0
83,0,452,4422.564103,4222.051282,4369.230769,4408.205128,4354.871795,4452.307692,4587.692308,4008.717949,4423.589744,4375.897436,4573.846154,4290.25641,4235.897436,5049.74359,1594,1738,72.098,15.02854061,0,0,0,0
84,0,352,4400,4215.897436,4357.435897,4405.128205,4354.358974,4454.358974,4584.102564,4007.692308,4420.512821,4361.538462,4565.128205,4283.589744,4219.487179,5030.769231,1593,1737,72.106,15.02854061,0,0,0,0
85,0,395,4382.051282,4205.641026,4345.641026,4400,4351.794872,4454.358974,4576.410256,4003.076923,4416.923077,4336.923077,4541.538462,4276.410256,4196.410256,5002.564103,1593,1738,72.114,15.02854061,0,0,0,0
86,0,465,4365.128205,4198.974359,4338.974359,4397.435897,4353.846154,4454.358974,4577.948718,4001.025641,4413.846154,4307.692308,4522.564103,4274.358974,4176.923077,4982.051282,1593,1737,72.122,15.02854061,0,0,0,0
87,0,452,4350.769231,4196.923077,4336.410256,4394.358974,4355.897436,4456.410256,4581.538462,3998.974359,4412.307692,4286.666667,4512.820513,4275.897436,4168.205128,4972.307692,1593,1738,72.129,15.02854061,0,0,0,0
88,0,352,4345.641026,4192.307692,4333.846154,4392.307692,4349.74359,4459.487179,4580.512821,NA,4411.794872,4276.410256,4498.974359,4276.410256,4165.128205,4965.641026,1593,1737,72.137,15.02854061,0,0,0,0
